character,base_pl,max_pl,status,location,notes
Goku,10,10,Healthy,Mount Paozu,Severe tail weakness; no ki control; Power Pole user
Bulma,4,4,Healthy,Approaching Mount Paozu,Possesses Two-Star and Five-Star Dragon Balls
Master Roshi,89,139,Healthy,Kame House,Buff maximum listed separately
Oolong,3,3,Healthy,Aru Village,Transformation ability
Yamcha,9,9,Healthy,Diablo Desert,Skilled early rival
Puar,2,2,Healthy,Diablo Desert,Transformation and flight
Chi-Chi,6,6,Healthy,Fry-Pan Mountain,Helmet weaponry
Ox-King,150,150,Healthy,Fry-Pan Mountain,Massive early power gap
Emperor Pilaf,3,3,Healthy,Pilaf Castle,Possesses One-Star Dragon Ball
Mai,6,6,Healthy,Pilaf Castle,Weapons and infiltration
Shu,6,6,Healthy,Pilaf Castle,Infiltration and explosives
