character,base_pl,current_pl,peak_pl,status,notes
Goku,10,10,100,Sore; tail cut off,Great Ape peak x10 occurred during Pilaf Castle incident; no memory afterward; base unchanged
Bulma,4,4,4,Exhausted but healthy,Survived first Dragon Ball hunt and Great Ape incident
Master Roshi,89,89,139,Healthy,Used Kamehameha to extinguish Fry-Pan Mountain fire and destroy most of castle
Oolong,3,3,3,Shaken but healthy,Transformation ability; stopped Pilaf's wish with underwear wish
Yamcha,9,9,9,Shaken but healthy,Defeated by Goku; rivalry/self-improvement seed active
Puar,2,2,2,Shaken but healthy,Cut off Goku's tail to stop Great Ape transformation
Chi-Chi,6,6,6,Healthy,Rescued by Goku; can ride Nimbus
Ox-King,150,150,150,Healthy,Castle destroyed; grateful Chi-Chi survived
Emperor Pilaf,3,3,3,Defeated/escaped likely,Wish stopped; castle badly damaged
Mai,6,6,6,Defeated/escaped likely,Involved in Pilaf trap and sleeping gas plan
Shu,6,6,6,Defeated/escaped likely,Operated traps/shutters/sleeping gas
Shenron,Unknown,Unknown,Unknown,Dormant,Summoned once; granted Oolong's wish; Dragon Balls inactive for one year
